,precision,recall,f1-score,support
A,0.9947242206235012,0.9966362325804902,0.9956793086893903,2081.0
B,0.9915773353751914,0.9961538461538462,0.9938603223330775,1300.0
C,0.9928632600628033,0.9906009683850755,0.9917308240661534,3511.0
D,0.9480436177036562,0.9723684210526315,0.9600519649236765,1520.0
E,0.9924198250728863,0.9918414918414918,0.9921305741766249,1716.0
F,0.9719101123595506,0.9942528735632183,0.9829545454545454,174.0
G,0.9759725400457666,0.9872685185185185,0.9815880322209436,864.0
H,0.981651376146789,0.9879963065558633,0.9848136217211229,1083.0
I,0.9820359281437125,0.9761904761904762,0.9791044776119403,168.0
J,0.9692070823710547,0.9882260596546311,0.9786241741158181,1274.0
K,0.9778554778554779,0.9976218787158145,0.9876397881106533,841.0
L,0.9902354968408961,0.9919447640966629,0.9910893935038805,1738.0
M,0.9919181034482759,0.9951351351351352,0.9935240151106314,1850.0
N,0.9919042590637099,0.988078541374474,0.9899877041981381,2852.0
O,0.9952325581395349,0.986741987548997,0.990969086488364,8674.0
P,0.9961937716262976,0.9924164081351258,0.9943015023312036,2901.0
Q,0.9548458149779736,0.9942660550458715,0.9741573033707865,872.0
R,0.9970896391152503,0.9873198847262248,0.9921807124239791,1735.0
S,0.998895180223726,0.9958694754233788,0.9973800330943188,7263.0
T,0.9979154258487195,0.9931831653823355,0.9955436720142602,3374.0
U,0.9930907415937356,0.991036543323374,0.9920625790866214,4351.0
V,0.9857369255150554,0.9920255183413078,0.9888712241653418,627.0
W,0.9857761286332715,0.9851668726823238,0.9854714064914992,1618.0
X,0.9904661016949152,0.9936238044633369,0.9920424403183024,941.0
Y,0.9932182490752158,0.988950276243094,0.9910796677945247,1629.0
Z,0.9827027027027027,0.9978046103183315,0.9901960784313726,911.0
accuracy,0.9907818429154436,0.9907818429154436,0.9907818429154436,0.9907818429154436
macro avg,0.985518533625372,0.9904892352096937,0.9879628635479683,55868.0
weighted avg,0.9908706071224541,0.9907818429154436,0.9908048479119068,55868.0
