true,predicted,count
O,D,64
D,O,32
O,Q,25
P,D,13
W,N,13
N,W,12
C,L,11
U,W,11
S,J,10
N,H,8
U,O,8
J,U,6
O,J,6
R,A,6
T,J,6
Y,J,6
C,E,5
C,G,5
C,U,5
L,C,5
N,M,5
O,C,5
O,U,5
S,C,5
U,J,5
E,F,4
G,Q,4
H,M,4
J,S,4
L,K,4
L,Z,4
M,H,4
Q,G,4
T,X,4
T,Y,4
T,Z,4
X,K,4
Y,V,4
A,H,3
B,G,3
D,P,3
E,G,3
G,C,3
J,T,3
N,Q,3
O,B,3
P,Q,3
R,B,3
R,K,3
R,P,3
R,Z,3
U,C,3
W,M,3
W,U,3
Y,U,3
Y,X,3
D,B,2
D,J,2
E,C,2
H,N,2
H,Y,2
I,J,2
I,Z,2
K,S,2
M,A,2
M,N,2
N,D,2
N,U,2
O,G,2
O,I,2
O,P,2
P,R,2
P,Y,2
S,B,2
S,Q,2
S,Z,2
T,H,2
T,K,2
U,G,2
U,K,2
U,L,2
U,N,2
U,V,2
V,U,2
V,Y,2
A,J,1
A,N,1
A,P,1
A,Q,1
B,E,1
B,R,1
C,J,1
C,K,1
C,O,1
C,Q,1
C,R,1
C,T,1
C,Z,1
D,Q,1
D,S,1
D,U,1
E,K,1
E,L,1
E,M,1
E,R,1
E,S,1
F,E,1
G,B,1
G,E,1
G,J,1
G,M,1
H,A,1
H,E,1
H,K,1
H,T,1
H,U,1
J,I,1
J,V,1
L,E,1
M,U,1
N,T,1
N,V,1
O,F,1
P,A,1
P,K,1
Q,D,1
R,E,1
R,L,1
R,M,1
R,N,1
S,A,1
S,D,1
S,E,1
S,G,1
S,H,1
S,N,1
S,P,1
S,T,1
S,U,1
T,E,1
U,H,1
U,Y,1
V,X,1
W,C,1
W,H,1
W,L,1
W,V,1
W,X,1
X,N,1
X,P,1
Y,C,1
Y,Q,1
Z,G,1
Z,L,1
