letter,auc
A,0.9999964263617396
B,0.999995249399479
C,0.999907665113162
D,0.9997673375866251
E,0.9999586439930287
F,0.9999977297952811
G,0.9999834818410513
H,0.9999729489009795
I,0.9999945498845858
J,0.9998422995632265
K,0.9999898871393952
L,0.9999531080293638
M,0.9999824783130349
N,0.999815207021046
O,0.9997142935704371
P,0.9999837170083209
Q,0.9999655834018955
R,0.9999724927679723
S,0.9999242305171789
T,0.9999792366255469
U,0.9998435492887017
V,0.9999907322147954
W,0.9998211195479428
X,0.9999905584277863
Y,0.9999407902167217
Z,0.999992449939956
