letter,recall
A,0.9966362325804902
B,0.9961538461538462
C,0.9906009683850755
D,0.9723684210526315
E,0.9918414918414918
F,0.9942528735632183
G,0.9872685185185185
H,0.9879963065558633
I,0.9761904761904762
J,0.9882260596546311
K,0.9976218787158145
L,0.9919447640966629
M,0.9951351351351352
N,0.988078541374474
O,0.986741987548997
P,0.9924164081351258
Q,0.9942660550458715
R,0.9873198847262248
S,0.9958694754233788
T,0.9931831653823355
U,0.991036543323374
V,0.9920255183413078
W,0.9851668726823238
X,0.9936238044633369
Y,0.988950276243094
Z,0.9978046103183315
